mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.49571795463562013,0.13227554708605144,0.004440021514892578,0.00022057156166014277,100,-1,0.01,"{'n_estimators': 100, 'max_depth': -1, 'learning_rate': 0.01}",-0.08858247169168401,-0.08066833619578996,-2767577110055795.5,-0.04174305247034231,-1.5145693138008026e+16,-3582654049612764.5,5880041725953558.0,1
0.7150183200836182,0.4459529865051286,0.0048253536224365234,0.0007008205993883491,200,-1,0.01,"{'n_estimators': 200, 'max_depth': -1, 'learning_rate': 0.01}",-0.08400724415280864,-0.056329152915616416,-2843788389201878.0,-0.027685446376038463,-1.5652928357954416e+16,-3699343349431259.0,6077426963722501.0,4
0.43266854286193845,0.19871681652426434,0.0048309326171875,0.0006687849061967177,100,10,0.01,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.01}",-0.08858247169168401,-0.08066833619578996,-2767577110055795.5,-0.04174305247034231,-1.5145693138008026e+16,-3582654049612764.5,5880041725953558.0,1
0.8476593494415283,0.501732627046192,0.004520940780639649,0.0007840463961500311,200,10,0.01,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.01}",-0.08400724415280864,-0.056329152915616416,-2843788389201878.0,-0.027685446376038463,-1.5652928357954416e+16,-3699343349431259.0,6077426963722501.0,4
0.37804813385009767,0.19350251991254594,0.0046160221099853516,0.0005864932476619153,100,20,0.01,"{'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.01}",-0.08858247169168401,-0.08066833619578996,-2767577110055795.5,-0.04174305247034231,-1.5145693138008026e+16,-3582654049612764.5,5880041725953558.0,1
0.8102714061737061,0.28257670331467527,0.004311418533325196,0.0004060332269216671,200,20,0.01,"{'n_estimators': 200, 'max_depth': 20, 'learning_rate': 0.01}",-0.08400724415280864,-0.056329152915616416,-2843788389201878.0,-0.027685446376038463,-1.5652928357954416e+16,-3699343349431259.0,6077426963722501.0,4
0.4270501613616943,0.18793389294824706,0.00421438217163086,0.0005071017478890814,100,-1,0.05,"{'n_estimators': 100, 'max_depth': -1, 'learning_rate': 0.05}",-0.08272252735516399,-0.051026196633383675,-2910786721574178.0,-0.029556764867227376,-1.5685610643323648e+16,-3719279472979565.0,6088445804994981.0,10
0.9198920726776123,0.4857587491817789,0.00453643798828125,0.0005554952003874194,200,-1,0.05,"{'n_estimators': 200, 'max_depth': -1, 'learning_rate': 0.05}",-0.08441976693686708,-0.05072486196485178,-2903121745007342.5,-0.03216537735596901,-1.5664596512447538e+16,-3713543651490976.0,6080389255738047.0,7
0.42481393814086915,0.12022194009572199,0.004317808151245117,0.0004050474540404123,100,10,0.05,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.05}",-0.08272252735516399,-0.051026196633383675,-2910786721574178.0,-0.029553123175282962,-1.569625189223041e+16,-3721407722760917.5,6092628752972173.0,12
0.8689451217651367,0.2963137767860545,0.004438638687133789,0.0006020986373820203,200,10,0.05,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.05}",-0.08441976693686708,-0.05072486196485178,-2903121745007342.5,-0.03213538393606174,-1.5680895003422192e+16,-3716803349685907.0,6086796337540852.0,9
0.38486785888671876,0.22366220948951449,0.004017448425292969,0.0005641654580097482,100,20,0.05,"{'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.05}",-0.08272252735516399,-0.051026196633383675,-2910786721574178.0,-0.029556764867227376,-1.5685610643323648e+16,-3719279472979565.0,6088445804994981.0,10
0.5114266395568847,0.17525992330912674,0.0039195060729980465,0.00017787512699203408,200,20,0.05,"{'n_estimators': 200, 'max_depth': 20, 'learning_rate': 0.05}",-0.08441976693686708,-0.05072486196485178,-2903121745007342.5,-0.03216537735596901,-1.5664596512447538e+16,-3713543651490976.0,6080389255738047.0,7
