mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006306219100952149,0.00039967540555825153,0.004780340194702149,0.0030768033540663313,0.01,{'alpha': 0.01},-0.00117311450229137,-0.0001316767701303957,-2729189481875858.5,-0.03670820471801495,-1.761056270915258e+16,-4067950438205688.0,6853310007908412.0,7
0.005616474151611328,0.0008420330918466481,0.0027216434478759765,0.00038600189144733085,0.1,{'alpha': 0.1},-0.0009738900141253512,-0.00017490505759449397,-2729261965957720.0,-0.036024008329695746,-1.7572654005009096e+16,-4060383194193363.0,6838325544168632.0,6
0.005034875869750976,0.0003155039964086647,0.002587413787841797,0.0007143068154282607,1,{'alpha': 1},-0.002729139522067384,-0.0007515084316179613,-2729510381165437.5,-0.033454249511986826,-1.737086043781199e+16,-4020074163795485.5,6758580292616960.0,5
0.006760978698730468,0.0034490759107393154,0.0019474506378173828,0.00010148461507944767,10,{'alpha': 10},-0.009773031552505106,-0.0037426270844535215,-2727237642078298.0,-0.0301743257635855,-1.7138768103591616e+16,-3973201149133982.5,6666986731765111.0,4
0.004822206497192383,0.0010329740031923204,0.0026368618011474608,0.000448129785440437,50,{'alpha': 50},-0.030663004153975392,-0.00914264802355208,-2707855288824997.5,-0.023768938816821808,-1.7010015213007866e+16,-3943574100366573.0,6616860500064459.0,3
0.00458984375,0.00044861103400928884,0.002606630325317383,0.0004978325401387702,100,{'alpha': 100},-0.045622511803142154,-0.01303022949512124,-2688939148735694.0,-0.02002867960788783,-1.690828758592025e+16,-3919445346931189.0,6577390420157306.0,2
0.004334926605224609,0.0005078759196444592,0.002403116226196289,0.0008039022044916336,200,{'alpha': 200},-0.062158609952761665,-0.018913547276634673,-2665909964993035.0,-0.01675636469272349,-1.6734341189712844e+16,-3880050230941176.0,6509551474902640.0,1
